state,age,i_urban,i_drive_to_work,i_physical_disability,socioeconomic_index,poverty_pct,i_female,i_male,i_grad_college,i_grad_highschool,i_married,i_married_mult,personal_income,personal_nonwage_income,i_health_insurance,i_moved_in_last_year,i_moved_out_of_state_in_last_year,lived_abroad_in_last_year,time_depart,time_arrive,time_commuting,education,ability,weights
AL,56,0,1,FALSE,40.29,457,1,0,0,1,1,1,3,0,1,0,0,0,512,529,17,6,-5513.027542680431,2.950562332831779e-7
AL,32,0,1,FALSE,34.57,172,1,0,0,1,0,0,3,0,1,0,0,0,392,419,27,6,-4327.277978961571,2.9715559888983025e-7
AL,56,1,1,FALSE,54.25,501,1,0,0,1,1,0,1.77,0,1,0,0,0,502,514,12,7,-7650.41751469978,2.9153408398383237e-7
AL,25,1,1,FALSE,50.01,342,1,0,1,1,0,0,4.5,0,1,0,0,0,422,444,22,11,2146.9764192549205,3.1283370008671135e-7
AL,33,0,1,FALSE,24.95,501,0,1,0,1,0,0,4,0,1,1,1,0,785,834,49,6,438.9025616508334,2.9868092460598875e-7
AL,30,0,1,FALSE,21.76,266,0,1,0,1,1,0,4.5,0,1,0,0,0,317,334,17,6,-403.81900852871695,3.111636592634786e-7
AL,55,1,1,FALSE,19.56,211,1,0,0,1,0,0,2.77,0,1,0,0,0,417,424,7,6,218.88069309686125,3.04188185778848e-7
AL,56,1,1,FALSE,24.95,247,1,0,0,1,1,1,0.72,0,1,0,0,0,447,464,17,6,-793.6820816563559,2.932933950931204e-7
AL,36,1,1,FALSE,58.25,490,1,0,1,1,1,0,7.2,0,1,0,0,0,482,504,22,11,2535.115686724581,3.258580588942185e-7
AL,46,0,1,FALSE,48.34,418,1,0,1,1,0,0,5.5,0,1,0,0,0,482,494,12,11,3784.6394612421846,3.130058530440847e-7
AL,57,1,1,FALSE,61.07,501,1,0,1,1,1,0,9.8,0,1,0,0,0,392,429,37,11,4534.956885551004,3.0019293426237586e-7
AL,58,1,0,FALSE,25.53,443,0,1,0,1,0,1,5.8,0,1,0,0,0,302,349,47,6,1288.8295434069078,3.376499646115543e-7
AL,52,0,1,FALSE,41.57,501,0,1,0,1,1,0,8.8,0,1,0,0,0,302,349,47,7,1027.7885751638642,2.926253781646356e-7
NA,44,0,1,FALSE,48.34,501,1,0,1,1,1,0,7.66,0,1,0,0,0,497,509,12,11,3784.63946124219,3.211133811979104e-7
NA,69,0,1,FALSE,25.45,501,1,0,0,1,0,1,2.46,0,1,0,0,0,542,544,2,6,-2700.347106140929,3.2530819637761355e-7
